gene,source
AAK1,CellAge
ABCB1,CellAge
ABCC6,CellAge
ABI3,CellAge
ABI3BP,CellAge
ACER2,CellAge
ACKR1,CellAge
ACLY,CellAge
ADCK5,CellAge
AGO2,CellAge
AGR2,CellAge
AGT,CellAge
AHR,CellAge
AKAP4,CellAge
AKR1B1,CellAge
AKT1,CellAge
AKT1S1,CellAge
AKT3,CellAge
AKTIP,CellAge
ALDH2,CellAge
ALDOA,CellAge
ALKBH3,CellAge
ALOX15B,CellAge
ANAPC1,CellAge
ANLN,CellAge
ANXA5,CellAge
APEX1,CellAge
AR,CellAge
ARF1,CellAge
ARG2,CellAge
ARID1A,CellAge
ARID1B,CellAge
ARID3A,CellAge
ARID4B,CellAge
ARPC1B,CellAge
ARRB1,CellAge
ASAH1,CellAge
ASF1A,CellAge
ASPH,CellAge
ASXL2,CellAge
ATF3,CellAge
ATF6,CellAge
ATF7IP,CellAge
ATG10,CellAge
ATG12,CellAge
ATG16L1,CellAge
ATG4D,CellAge
ATG5,CellAge
ATG7,CellAge
ATM,CellAge
ATP6V0A2,CellAge
ATP6V0C,CellAge
ATR,CellAge
ATRAID,CellAge
ATRX,CellAge
ATXN10,CellAge
AURKA,CellAge
AURKB,CellAge
AXL,CellAge
BAG3,CellAge
BAP1,CellAge
BAZ1A,CellAge
BCL11B,CellAge
BCL2,CellAge
BCL2L1,CellAge
BCL2L2,CellAge
BCL3,CellAge
BCL6,CellAge
BCLAF1,CellAge
BECN1,CellAge
BHLHE40,CellAge
BIN1,CellAge
BIRC5,CellAge
BLK,CellAge
BLVRA,CellAge
BMI1,CellAge
BMP4,CellAge
BMPR2,CellAge
BMS1,CellAge
BNIP3L,CellAge
BRAF,CellAge
BRCA1,CellAge
BRD4,CellAge
BRD7,CellAge
BRIP1,CellAge
BTG1,CellAge
BTG2,CellAge
BTG3,CellAge
BUB1,CellAge
BUB1B,CellAge
CALR,CellAge
CAPNS1,CellAge
CARF,CellAge
CARM1,CellAge
CASP2,CellAge
CAV1,CellAge
CAVIN1,CellAge
CBS,CellAge
CBX5,CellAge
CBX7,CellAge
CBX8,CellAge
CCL2,CellAge
CCN2,CellAge
CCN6,CellAge
CCNA2,CellAge
CCNB1,CellAge
CCND1,CellAge
CCND3,CellAge
CD28,CellAge
CD34,CellAge
CD40LG,CellAge
CD82,CellAge
CDC25A,CellAge
CDC45,CellAge
CDC6,CellAge
CDC7,CellAge
CDCA2,CellAge
CDCA4,CellAge
CDH1,CellAge
CDK1,CellAge
CDK18,CellAge
CDK2,CellAge
CDK2AP1,CellAge
CDK4,CellAge
CDK5,CellAge
CDK5R1,CellAge
CDK6,CellAge
CDKN1A,CellAge
CDKN1B,CellAge
CDKN1C,CellAge
CDKN2A,CellAge
CDKN2AIP,CellAge
CDKN2B,CellAge
CEACAM1,CellAge
CEBPB,CellAge
CEBPG,CellAge
CENPA,CellAge
CHAF1B,CellAge
CHD5,CellAge
CHEK1,CellAge
CHEK2,CellAge
CHUK,CellAge
CIP2A,CellAge
CIT,CellAge
CKAP2,CellAge
CKB,CellAge
CLCA2,CellAge
CLPP,CellAge
CLSPN,CellAge
CLU,CellAge
CNOT6,CellAge
CNOT6L,CellAge
COX5B,CellAge
CPEB1,CellAge
CPT1C,CellAge
CREG1,CellAge
CRISPLD2,CellAge
CSNK1A1,CellAge
CSNK2A1,CellAge
CTH,CellAge
CTNNAL1,CellAge
CTNNB1,CellAge
CTSB,CellAge
CTSD,CellAge
CUL4B,CellAge
CUX1,CellAge
CXCL1,CellAge
CXCR2,CellAge
CYB5R3,CellAge
CYBB,CellAge
CYP26A1,CellAge
DAO,CellAge
DDAH2,CellAge
DDB1,CellAge
DDB2,CellAge
DDIT4,CellAge
DEK,CellAge
DEPTOR,CellAge
DGCR8,CellAge
DHCR24,CellAge
DHRS2,CellAge
DHX9,CellAge
DICER1,CellAge
DIDO1,CellAge
DIRAS3,CellAge
DKC1,CellAge
DLC1,CellAge
DMTF1,CellAge
DNMT1,CellAge
DNMT3A,CellAge
DNMT3B,CellAge
DOT1L,CellAge
DPP4,CellAge
DPY30,CellAge
DTL,CellAge
DUSP1,CellAge
DUSP16,CellAge
DUSP21,CellAge
DUSP3,CellAge
DUSP6,CellAge
DYRK1A,CellAge
E2F1,CellAge
E2F3,CellAge
E2F7,CellAge
ECT2,CellAge
EEF1E1,CellAge
EGFR,CellAge
EGLN1,CellAge
EGR2,CellAge
EHF,CellAge
EHMT2,CellAge
EID3,CellAge
EIF2AK2,CellAge
EIF2AK3,CellAge
EIF4E,CellAge
EIF4EBP1,CellAge
EIF4G2,CellAge
ELAVL1,CellAge
ELOA,CellAge
ENDOG,CellAge
ENG,CellAge
ENO1,CellAge
ENTPD7,CellAge
EP300,CellAge
EPAS1,CellAge
EPHA3,CellAge
EPHA5,CellAge
EPOR,CellAge
ERBB2,CellAge
ERCC1,CellAge
ERRFI1,CellAge
ERVW-1,CellAge
ESPL1,CellAge
ESR1,CellAge
ESRRB,CellAge
ETS1,CellAge
ETS2,CellAge
ETV6,CellAge
EWSR1,CellAge
EZH2,CellAge
FANCD2,CellAge
FASN,CellAge
FASTK,CellAge
FBXO22,CellAge
FBXO31,CellAge
FBXO4,CellAge
FBXO5,CellAge
FBXW11,CellAge
FDPS,CellAge
FERMT1,CellAge
FERMT2,CellAge
FGF21,CellAge
FGFR1,CellAge
FGFR2,CellAge
FGFR3,CellAge
FIS1,CellAge
FLT1,CellAge
FNTB,CellAge
FOS,CellAge
FOXA1,CellAge
FOXD1,CellAge
FOXM1,CellAge
FOXO1,CellAge
FOXO3,CellAge
FOXO4,CellAge
FOXP1,CellAge
FOXP3,CellAge
FOXQ1,CellAge
FSCN1,CellAge
FXN,CellAge
FXR1,CellAge
G6PD,CellAge
GADD45G,CellAge
GAPDH,CellAge
GATA4,CellAge
GDF15,CellAge
GEMIN2,CellAge
GGCT,CellAge
GJA1,CellAge
GKN1,CellAge
GLI1,CellAge
GMNN,CellAge
GMPS,CellAge
GNG11,CellAge
GNMT,CellAge
GPC3,CellAge
GRIK2,CellAge
GRK4,CellAge
GRK6,CellAge
GRN,CellAge
GRPR,CellAge
GRSF1,CellAge
GSK3A,CellAge
GSK3B,CellAge
GTSE1,CellAge
HAS1,CellAge
HAUS4,CellAge
HBP1,CellAge
HDAC1,CellAge
HDAC2,CellAge
HDAC3,CellAge
HDAC4,CellAge
HDAC7,CellAge
HELLS,CellAge
HEPACAM,CellAge
HIF1A,CellAge
