"hgnc"	"criteria"
"hgnc"	"criteria"
"GHR"	"'Changes in gene activity extend mammalian lifespan'"
"GHR"	"'Association of genetic variants and gene expression levels with longevity'"
"GHR"	"'Regulation of genes associated with aging'"
"GHR"	"'Changes in gene activity protect against age-related impairment'"
"GHR"	"'Changes in gene activity enhance age-related deterioration'"
"GHR"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"GHRH"	"'Changes in gene activity extend mammalian lifespan'"
"GHRH"	"'Age-related changes in gene expression, methylation or protein activity'"
"GHRH"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"GHRH"	"'Regulation of genes associated with aging'"
"GHRH"	"'Changes in gene activity protect against age-related impairment'"
"GHRH"	"'Changes in gene activity enhance age-related deterioration'"
"SHC1"	"'Changes in gene activity extend mammalian lifespan'"
"SHC1"	"'Changes in gene activity reduce non-mammalian lifespan'"
"POU1F1"	"'Changes in gene activity extend mammalian lifespan'"
"POU1F1"	"'Changes in gene activity protect against age-related impairment'"
"PROP1"	"'Changes in gene activity extend mammalian lifespan'"
"PROP1"	"'Regulation of genes associated with aging'"
"PROP1"	"'Changes in gene activity protect against age-related impairment'"
"TP53"	"'Regulation of genes associated with aging'"
"TP53"	"'Association of genetic variants and gene expression levels with longevity'"
"TP53"	"'Age-related changes in gene expression, methylation or protein activity'"
"TP53"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"TP53"	"'Changes in gene activity protect against age-related impairment'"
"TP53"	"'Changes in gene activity reduce mammalian lifespan'"
"TP53"	"'Changes in gene activity enhance age-related deterioration'"
"TP53"	"'Changes in gene activity extend non-mammalian lifespan'"
"TP53"	"'Changes in gene activity reduce non-mammalian lifespan'"
"TERC"	"'Association of genetic variants and gene expression levels with longevity'"
"TERC"	"'Changes in gene activity reduce mammalian lifespan'"
"TERC"	"'Regulation of genes associated with aging'"
"TERC"	"'Age-related changes in gene expression, methylation or protein activity'"
"TERC"	"'Changes in gene activity enhance age-related deterioration'"
"TERT"	"'Changes in gene activity extend mammalian lifespan'"
"TERT"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"TERT"	"'Regulation of genes associated with aging'"
"TERT"	"'Changes in gene activity protect against age-related impairment'"
"TERT"	"'Changes in gene activity enhance age-related deterioration'"
"TERT"	"'Age-related changes in gene expression, methylation or protein activity'"
"TERT"	"'Association of genetic variants and gene expression levels with longevity'"
"ATM"	"'Association of genetic variants and gene expression levels with longevity'"
"ATM"	"'Regulation of genes associated with aging'"
"ATM"	"'Changes in gene activity protect against age-related impairment'"
"ATM"	"'Changes in gene activity enhance age-related deterioration'"
"ATM"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"PLAU"	"'Changes in gene activity extend mammalian lifespan'"
"PLAU"	"'Changes in gene activity protect against age-related impairment'"
"ERCC2"	"'Association of genetic variants and gene expression levels with longevity'"
"ERCC2"	"'Regulation of genes associated with aging'"
"ERCC2"	"'Changes in gene activity reduce mammalian lifespan'"
"ERCC2"	"'Changes in gene activity enhance age-related deterioration'"
"ERCC2"	"'Association of the gene with accelerated aging in humans'"
"ERCC8"	"'Association of the gene with accelerated aging in humans'"
"ERCC8"	"'Regulation of genes associated with aging'"
"ERCC8"	"'Changes in gene activity protect against age-related impairment'"
"WRN"	"'Association of genetic variants and gene expression levels with longevity'"
"WRN"	"'Association of the gene with accelerated aging in humans'"
"WRN"	"'Regulation of genes associated with aging'"
"WRN"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"LMNA"	"'Association of the gene with accelerated aging in humans'"
"LMNA"	"'Regulation of genes associated with aging'"
"LMNA"	"'Changes in gene activity reduce mammalian lifespan'"
"LMNA"	"'Changes in gene activity reduce non-mammalian lifespan'"
"LMNA"	"'Changes in gene activity enhance age-related deterioration'"
"LMNA"	"'Association of genetic variants and gene expression levels with longevity'"
"IGF1R"	"'Changes in gene activity extend non-mammalian lifespan'"
"IGF1R"	"'Changes in gene activity extend mammalian lifespan'"
"IGF1R"	"'Changes in gene activity protect against age-related impairment'"
"IGF1R"	"'Association of genetic variants and gene expression levels with longevity'"
"IGF1R"	"'Age-related changes in gene expression, methylation or protein activity in humans'"
"IGF1R"	"'Age-related changes in gene expression, methylation or protein activity'"
