"hgnc	confidence_level"
"GHR"	"highest"
"GHRH"	"high"
"SHC1"	"high"
"POU1F1"	"high"
"PROP1"	"high"
"TP53"	"moderate"
"TERC"	"low"
"TERT"	"highest"
"ATM"	"low"
"PLAU"	"high"
"ERCC2"	"low"
"ERCC8"	"low"
"WRN"	"low"
"LMNA"	"low"
"IGF1R"	"highest"
"TXN"	"highest"
"KL"	"highest"
"E2F1"	"moderate"
"PTPN11"	"lowest"
"NFKB2"	"lowest"
"STAT5B"	"low"
"STAT3"	"low"
"STAT5A"	"lowest"
"NRG1"	"low"
"HDAC3"	"low"
"GH1"	"highest"
"IL7R"	"lowest"
"IGF1"	"high"
"IGF2"	"moderate"
"INS"	"moderate"
"NGF"	"low"
"IRS1"	"high"
"PTPN1"	"low"
"IRS2"	"highest"
"AKT1"	"highest"
"PIK3CB"	"moderate"
"NGFR"	"low"
"HRAS"	"low"
"MYC"	"high"
"EGFR"	"low"
"ERBB2"	"low"
"INSR"	"highest"
"NBN"	"low"
"JUND"	"low"
"IL2"	"low"
"PDGFB"	"lowest"
"FOS"	"low"
"PDGFRB"	"low"
"EPOR"	"lowest"
"SST"	"lowest"
"PRKCD"	"low"
"PPARA"	"low"
"RET"	"lowest"
"PLCG2"	"lowest"
"PEX5"	"moderate"
"TCF3"	"moderate"
"PARP1"	"low"
"BRCA1"	"low"
"PIN1"	"lowest"
"PTEN"	"highest"
"CREBBP"	"low"
"HIF1A"	"moderate"
"RPA1"	"moderate"
"BLM"	"low"
"BCL2"	"lowest"
"S100B"	"lowest"
"VCP"	"moderate"
"POLG"	"low"
"IGFBP3"	"low"
"HSP90AA1"	"lowest"
"NR3C1"	"low"
"EGR1"	"moderate"
"VEGFA"	"highest"
"BRCA2"	"lowest"
"TOP2B"	"lowest"
"NFKB1"	"low"
"TOP1"	"lowest"
"RAD51"	"lowest"
"TNF"	"low"
"CEBPA"	"lowest"
"CEBPB"	"high"
"MXI1"	"lowest"
"TGFB1"	"moderate"
"ERCC6"	"lowest"
"EP300"	"lowest"
"PML"	"low"
"GSK3B"	"moderate"
"HTT"	"highest"
"PRKCA"	"lowest"
"SSTR3"	"lowest"
"HELLS"	"low"
"APOC3"	"lowest"
"EEF2"	"moderate"
"ERCC3"	"lowest"
"TERF1"	"low"
"PRKDC"	"low"
"CAT"	"high"
"ERCC5"	"low"
"AR"	"low"
"XRCC5"	"lowest"
"PCNA"	"lowest"
"FEN1"	"low"
"FAS"	"lowest"
"TERF2"	"lowest"
"XRCC6"	"moderate"
"POLD1"	"lowest"
"BAX"	"lowest"
"RB1"	"low"
"FOXO3"	"moderate"
"FOXO1"	"moderate"
"HSF1"	"moderate"
"XPA"	"lowest"
"MSRA"	"moderate"
"RECQL4"	"lowest"
"SOD2"	"moderate"
"SOD1"	"moderate"
"FOXM1"	"low"
"COQ7"	"high"
"CACNA1A"	"lowest"
"LRP2"	"lowest"
"AIFM1"	"lowest"
"UCHL1"	"lowest"
"APP"	"lowest"
"APOE"	"low"
"A2M"	"lowest"
"SNCG"	"lowest"
"PRDX1"	"moderate"
"PON1"	"low"
"RELA"	"low"
"IL6"	"low"
"RGN"	"lowest"
"ATP5PO"	"moderate"
"RAD52"	"low"
"TOP3B"	"lowest"
"ERCC1"	"low"
"SIRT1"	"highest"
"HDAC1"	"moderate"
"HSPA9"	"moderate"
"GPX1"	"low"
"GSR"	"moderate"
"GSS"	"low"
"GSTA4"	"high"
"GSTP1"	"moderate"
"MT-CO1"	"moderate"
"HSPD1"	"lowest"
"HSPA1A"	"highest"
"HSPA1B"	"high"
"PCMT1"	"moderate"
"MAPK8"	"moderate"
"YWHAZ"	"low"
"PTK2"	"low"
"IL7"	"low"
"MAPK14"	"moderate"
"FGFR1"	"lowest"
"SP1"	"lowest"
"FLT1"	"low"
"JUN"	"lowest"
"MAPK9"	"moderate"
"MAPK3"	"lowest"
"HMGB1"	"lowest"
"HMGB2"	"lowest"
"MAP3K5"	"low"
"LMNB1"	"low"
"SDHC"	"moderate"
"FOXO4"	"moderate"
"PIK3R1"	"low"
"BSCL2"	"lowest"
"BMI1"	"lowest"
"EEF1A1"	"moderate"
"TFAP2A"	"lowest"
"BDNF"	"low"
"CREB1"	"low"
"ATF2"	"lowest"
"TBP"	"lowest"
"APEX1"	"low"
"HBP1"	"low"
"BUB1B"	"high"
"PTGS2"	"low"
"HSPA8"	"lowest"
"SIN3A"	"lowest"
"TFDP1"	"lowest"
"DDIT3"	"lowest"
"POLA1"	"lowest"
"MAPT"	"lowest"
"CTGF"	"low"
"HDAC2"	"moderate"
"MAX"	"lowest"
"MXD1"	"moderate"
"MDM2"	"low"
"SUMO1"	"moderate"
"HOXB7"	"lowest"
"HOXC4"	"lowest"
"JAK2"	"moderate"
"ESR1"	"low"
"LEP"	"lowest"
"LEPR"	"lowest"
"NFKBIA"	"highest"
"CLU"	"moderate"
"MTOR"	"high"
"GHRHR"	"highest"
"CTNNB1"	"low"
"PSEN1"	"low"
"CDKN2A"	"high"
"PPP1CA"	"low"
"DBN1"	"low"
"NOG"	"lowest"
"ELN"	"low"
"ATR"	"moderate"
"UCP3"	"moderate"
"ZMPSTE24"	"low"
"TP63"	"low"
"UCP2"	"highest"
"POLB"	"low"
"GCLC"	"moderate"
"GCLM"	"moderate"
"SIRT6"	"highest"
"BUB3"	"moderate"
"RAE1"	"lowest"
"PMCH"	"lowest"
"MLH1"	"low"
"CSNK1E"	"high"
"STUB1"	"moderate"
"PPM1D"	"low"
"PCK1"	"high"
"ARHGAP1"	"low"
"CDC42"	"high"
"BMAL1"	"lowest"
"CLOCK"	"lowest"
"HIC1"	"lowest"
"PAPPA"	"highest"
"ADCY5"	"high"
"PPARGC1A"	"moderate"
"GPX4"	"high"
"UCP1"	"highest"
"FGF23"	"lowest"
"EFEMP1"	"low"
"ERCC4"	"moderate"
"CETP"	"lowest"
"PPARG"	"highest"
"AGTR1"	"highest"
"CISD2"	"high"
"EEF1E1"	"low"
"EPS8"	"high"
"KCNA3"	"high"
"SIRT7"	"low"
"SLC13A1"	"high"
"SOCS2"	"low"
"TPP2"	"low"
"TP53BP1"	"low"
"SIRT3"	"low"
"NCOR2"	"low"
"SUN1"	"lowest"
"BAK1"	"lowest"
"IGFBP2"	"high"
"PYCR1"	"lowest"
"TP73"	"low"
"CNR1"	"low"
"NFE2L2"	"low"
"CDKN1A"	"low"
"PDGFRA"	"lowest"
"PIK3CA"	"high"
"C1QA"	"lowest"
"CDKN2B"	"low"
"EIF5A2"	"low"
"MIF"	"high"
"DGAT1"	"high"
"MT1E"	"high"
"FGF21"	"high"
"HTRA2"	"low"
"GSK3A"	"moderate"
"NUDT1"	"high"
"IKBKB"	"high"
"SQSTM1"	"moderate"
"CDK7"	"lowest"
"GRN"	"high"
"SERPINE1"	"low"
"SPRTN"	"lowest"
"RICTOR"	"moderate"
"CTF1"	"high"
"TRAP1"	"lowest"
"TRPV1"	"high"
"NFE2L1"	"moderate"
"GDF11"	"moderate"
"ACE2"	"moderate"
"NAMPT"	"lowest"
"ALB"	"high"
"PLAGL1"	"lowest"
"GADD45A"	"lowest"
"DDIT4"	"lowest"
"PERP"	"lowest"
"DUSP10"	"moderate"
"MT-RNR1"	"low"
"IFNAR1"	"lowest"
"HPGD"	"low"
"CASP1"	"low"
"IFNG"	"lowest"
"BCL2L2"	"moderate"
"IL15"	"low"
"IL15RA"	"lowest"
"TGFBR1"	"moderate"
"COL2A1"	"low"
"ADIPOQ"	"low"
"NLRP3"	"high"
"B3GAT1"	"lowest"
"TJP2"	"lowest"
"RALB"	"lowest"
"ME3"	"low"
"CPNE1"	"lowest"
"SCN3A"	"lowest"
"RGS20"	"lowest"
"C1QB"	"lowest"
"BEX3"	"lowest"
"CAPG"	"lowest"
"NIPSNAP1"	"low"
"ZFAND2A"	"lowest"
"ELMO1"	"lowest"
"DLK2"	"lowest"
"BCL6"	"lowest"
"ZC3HAV1"	"lowest"
"ABI2"	"lowest"
"ADAMTS20"	"moderate"
"TUBB6"	"moderate"
"LAIR1"	"lowest"
"ZFYVE9"	"lowest"
"SLC16A14"	"lowest"
"U2AF1"	"lowest"
"CETN3"	"lowest"
"GRSF1"	"lowest"
"MXRA8"	"lowest"
"ANK2"	"low"
"ENTPD3"	"lowest"
"CYC1"	"low"
"LGI4"	"lowest"
"GPCPD1"	"lowest"
"OPN3"	"low"
"PPM1H"	"lowest"
"BECN1"	"high"
"MAPRE2"	"lowest"
"MRPS25"	"lowest"
"BAD"	"lowest"
"SNAI2"	"moderate"
"SLC2A13"	"lowest"
"SRSF5"	"lowest"
"HSD17B7"	"lowest"
"COL1A1"	"low"
"COL1A2"	"low"
"COL3A1"	"low"
"COL4A1"	"lowest"
"COL4A2"	"lowest"
"COL4A3"	"lowest"
"COL4A4"	"lowest"
"COL4A5"	"lowest"
"COL4A6"	"lowest"
"PDHB"	"low"
"DGKZ"	"moderate"
"FJX1"	"lowest"
"UROS"	"lowest"
"CHSY1"	"low"
"MZF1"	"lowest"
"RGL1"	"lowest"
"NIPBL"	"lowest"
"EGFL6"	"lowest"
"SNAI1"	"moderate"
"SMOC1"	"moderate"
"CSNK2A1"	"low"
"CXCL8"	"lowest"
"MTHFR"	"low"
"MTHFD1"	"low"
"MTRR"	"lowest"
"MTR"	"lowest"
"FOLR1"	"lowest"
"FOLR2"	"lowest"
"FOLH1"	"lowest"
"FOLH1B"	"lowest"
"SLC19A1"	"low"
"HBA1"	"lowest"
"HBA2"	"lowest"
"HBB"	"lowest"
"AHSP"	"lowest"
"SUB1"	"low"
"PCSK9"	"lowest"
"WNT4"	"lowest"
"CRP"	"lowest"
"CYBB"	"low"
"CYB5R3"	"high"
"CYGB"	"lowest"
"NOS3"	"low"
"NGB"	"low"
"DHFR"	"moderate"
"TYMS"	"moderate"
"CSF2"	"low"
"TGM2"	"low"
"LOX"	"low"
"FBN1"	"low"
"FBN2"	"lowest"
"FBLN1"	"lowest"
"EFEMP2"	"lowest"
"FBLN5"	"lowest"
"MMP1"	"lowest"
"MMP3"	"lowest"
"WNT5B"	"lowest"
"WNT2"	"lowest"
"WNT5A"	"lowest"
"WNT2B"	"lowest"
"WNT11"	"lowest"
"WNT7B"	"low"
"WNT7A"	"lowest"
"WNT9A"	"lowest"
"WNT10A"	"lowest"
"WNT16"	"low"
"WNT6"	"lowest"
"WNT1"	"lowest"
"WNT3"	"lowest"
"WNT3A"	"lowest"
"DVL2"	"lowest"
"FZD2"	"lowest"
"FZD3"	"lowest"
"LEF1"	"lowest"
"SFRP1"	"lowest"
"FRZB"	"lowest"
"CCND1"	"lowest"
"CCND2"	"lowest"
"DIXDC1"	"lowest"
"PORCN"	"lowest"
"FZD8"	"lowest"
"SFRP2"	"lowest"
"APC"	"lowest"
"BTRC"	"lowest"
"WIF1"	"lowest"
"CCN4"	"lowest"
"TLE1"	"lowest"
"SIRT2"	"moderate"
"SPP1"	"lowest"
"MMP9"	"low"
"MMP2"	"low"
"MMP7"	"lowest"
"MMP12"	"lowest"
"MMP13"	"lowest"
"MMP14"	"low"
"MMP16"	"lowest"
"MMP17"	"lowest"
"BIRC5"	"lowest"
"MARK1"	"lowest"
"MRPL15"	"lowest"
"MKKS"	"lowest"
"MICOS13"	"lowest"
"TGFBR3"	"lowest"
"CYB561"	"lowest"
"HCCS"	"lowest"
"DDX24"	"lowest"
"MRPS33"	"lowest"
"TIMP1"	"lowest"
"VLDLR"	"lowest"
"ACOT8"	"lowest"
"CAMTA1"	"lowest"
"IL33"	"lowest"
"INHBB"	"lowest"
"COX4I1"	"lowest"
"PTPN3"	"lowest"
"LPP"	"lowest"
"PPP3R1"	"lowest"
"SNED1"	"lowest"
"IMMT"	"lowest"
"ARPC5L"	"lowest"
"CFLAR"	"lowest"
"NECAB3"	"lowest"
"AUH"	"lowest"
"USP54"	"lowest"
"ANP32B"	"lowest"
"SERTAD2"	"lowest"
"ST8SIA5"	"lowest"
"ALDH4A1"	"lowest"
"EPC1"	"lowest"
"ZHX2"	"lowest"
"USE1"	"lowest"
"RTCA"	"lowest"
"DAZAP1"	"lowest"
"PTGR1"	"lowest"
"TPD52L2"	"lowest"
"GOT2"	"lowest"
"PLIN3"	"lowest"
"RNF114"	"lowest"
"RIN3"	"lowest"
"TRIB2"	"lowest"
"WDR77"	"lowest"
"TSPAN5"	"lowest"
"NDUFA9"	"lowest"
"UPF3A"	"lowest"
"DYNC1I1"	"lowest"
"MRPS12"	"lowest"
"RAP2A"	"lowest"
"MOCS2"	"lowest"
"BCS1L"	"lowest"
"CEP350"	"lowest"
"AKAP7"	"lowest"
"DLAT"	"lowest"
"RING1"	"lowest"
"LST1"	"lowest"
"STK25"	"lowest"
"ITPR2"	"lowest"
"PANK4"	"lowest"
"RBPJ"	"lowest"
"ISCA1"	"lowest"
"NDUFS2"	"lowest"
"SNRNP70"	"lowest"
"AVL9"	"lowest"
"CARHSP1"	"lowest"
"UQCRC1"	"lowest"
"SF3B2"	"lowest"
"FANCG"	"lowest"
"SLC25A11"	"lowest"
"NDC1"	"lowest"
"NDUFV3"	"lowest"
"POLR3K"	"lowest"
"IGF2R"	"lowest"
"PMP22"	"lowest"
"NTMT1"	"lowest"
"MTMR2"	"lowest"
"CMAS"	"lowest"
"AKAP13"	"lowest"
"YAP1"	"moderate"
"C3"	"low"
"ITGA2"	"lowest"
"MYOF"	"lowest"
"RPS6KC1"	"lowest"
"UQCRB"	"lowest"
"RYR1"	"lowest"
"BAZ2A"	"lowest"
"ROGDI"	"lowest"
"LGALS1"	"lowest"
"MOSPD1"	"lowest"
"MRPL35"	"lowest"
"SUCLA2"	"lowest"
"HSPA2"	"lowest"
"SPATS2L"	"lowest"
"DNM1L"	"lowest"
"WDR12"	"lowest"
"GLRX"	"low"
"COPS5"	"lowest"
"FKBP5"	"lowest"
"CADM2"	"lowest"
"DDX11"	"lowest"
"PANK3"	"lowest"
"COX7A2"	"lowest"
"SEL1L3"	"lowest"
"FAM210A"	"lowest"
"TTC4"	"lowest"
"STK24"	"lowest"
"CYTH1"	"lowest"
"RBM39"	"lowest"
"STAG2"	"lowest"
"AP2B1"	"lowest"
"ERBB3"	"lowest"
"NNT"	"lowest"
"NKTR"	"lowest"
"KDM6B"	"lowest"
"ATG5"	"high"
"SOCS3"	"lowest"
"LYPLA1"	"lowest"
"CXXC1"	"lowest"
"GDE1"	"lowest"
"AKT3"	"moderate"
"NUMA1"	"lowest"
"CPSF7"	"lowest"
"RAP1B"	"lowest"
"CCNH"	"lowest"
"UXS1"	"lowest"
"GNPTG"	"lowest"
"PSRC1"	"lowest"
"TLN2"	"lowest"
"GNPNAT1"	"lowest"
"MAP2K4"	"lowest"
"ZBTB8OS"	"lowest"
"PRKAG1"	"lowest"
"SGPP1"	"lowest"
"ABCE1"	"lowest"
"IQGAP1"	"lowest"
"NFATC3"	"lowest"
"ADAMTS1"	"lowest"
"LTBP1"	"lowest"
"VAMP4"	"lowest"
"SDC2"	"lowest"
"PCNT"	"lowest"
"SCPEP1"	"lowest"
"LAMTOR2"	"lowest"
"AKT1S1"	"low"
"PRR5L"	"low"
"RPTOR"	"lowest"
"RHOA"	"low"
"EIF4EBP1"	"low"
"MMP20"	"lowest"
"MMP25"	"lowest"
"MMP27"	"lowest"
"TIMP2"	"lowest"
"ACAN"	"lowest"
"SMOC2"	"moderate"
"SIRT4"	"moderate"
"SIRT5"	"low"
"AGER"	"low"
"GLO1"	"moderate"
"NRIP1"	"high"
"TMPRSS2"	"lowest"
"VHL"	"moderate"
"WNT10B"	"lowest"
"WNT9B"	"lowest"
"PAWR"	"high"
"C9orf85"	"lowest"
"JMJD1A"	"lowest"
"DDR1"	"lowest"
"ALOX12"	"lowest"
"PTGER2"	"lowest"
"MGAT5"	"low"
"NR2F2"	"lowest"
"WFS1"	"lowest"
"FLJ22555"	"lowest"
"DKK3"	"lowest"
"LAMA3"	"lowest"
"PTPRK"	"lowest"
"NOX4"	"lowest"
"COA1"	"lowest"
"CXCL16"	"lowest"
"PDLIM5"	"lowest"
"USP10"	"lowest"
"CA3"	"lowest"
"CYFIP1"	"lowest"
"NHLRC1"	"lowest"
"RPL31"	"lowest"
"DCHS1"	"lowest"
"EIF3M"	"lowest"
"BIK"	"lowest"
"ARHGEF18"	"lowest"
"MGP"	"lowest"
"FXN"	"moderate"
"NDUFS5"	"lowest"
"CRADD"	"lowest"
"MAPKAP1"	"lowest"
"C10orf35"	"lowest"
"MBNL1"	"lowest"
"BIRC2"	"lowest"
"TIMM17A"	"lowest"
"RXRA"	"lowest"
"ACOX1"	"lowest"
"SLCO3A1"	"lowest"
"SLC14A1"	"lowest"
"APPBP1"	"lowest"
"IL6ST"	"lowest"
"ATPAF1"	"lowest"
"EPHX2"	"lowest"
"FES"	"lowest"
"TRIM72"	"low"
"TARDBP"	"moderate"
""	"lowest"
"KDR"	"lowest"
"POU5F1"	"lowest"
"EZH2"	"moderate"
"LAMA2"	"lowest"
"LAMA4"	"lowest"
"LAMA5"	"lowest"
"LAMB1"	"lowest"
"LAMB2"	"lowest"
"LAMB3"	"lowest"
"LAMC2"	"lowest"
"ESR2"	"lowest"
"ITGA3"	"lowest"
"ITGA4"	"lowest"
"ITGA6"	"lowest"
"ITGAE"	"lowest"
"ITGAV"	"lowest"
"ITGB1"	"moderate"
"ITGB2"	"lowest"
"ITGB3"	"low"
"HLA-DRB1"	"low"
"CXCL9"	"lowest"
"BPIFB4"	"low"
"SSTR2"	"lowest"
"SSTR5"	"lowest"
"SSTR1"	"lowest"
"IGFBP5"	"low"
"SOX2"	"lowest"
"KLF4"	"lowest"
"MC4R"	"lowest"
"BHLHE41"	"lowest"
"FZD7"	"lowest"
"HSPB8"	"lowest"
"TBKBP1"	"lowest"
"TIAM1"	"lowest"
"SH3BP5"	"lowest"
"GPRC5B"	"lowest"
"CITED4"	"lowest"
"CCDC88C"	"lowest"
"GYPC"	"lowest"
"SERINC3"	"lowest"
"PDE4B"	"low"
"ARHGAP35"	"lowest"
"CADM1"	"lowest"
"NFATC2"	"lowest"
"CD28"	"lowest"
"DYRK2"	"lowest"
"MYO10"	"lowest"
"ACVR2A"	"lowest"
"WNK1"	"lowest"
"MR1"	"lowest"
"RCOR3"	"lowest"
"C7"	"lowest"
"CPD"	"lowest"
"MAP1B"	"lowest"
"HDAC9"	"lowest"
"DYRK1A"	"lowest"
"ME1"	"lowest"
"PLCL2"	"lowest"
"MTSS1"	"lowest"
"HERC3"	"lowest"
"MAF"	"lowest"
"SEMA6D"	"lowest"
"TPPP"	"lowest"
"SLC9A2"	"lowest"
"CAMK2A"	"lowest"
"RBM3"	"lowest"
"NF1"	"lowest"
"ANXA7"	"lowest"
"RBFOX2"	"lowest"
"CBFA2T2"	"lowest"
"TSC22D1"	"lowest"
"RTN4"	"lowest"
"PAK1"	"lowest"
"RLF"	"lowest"
"PRKACB"	"lowest"
"MAT2A"	"lowest"
"ADAMTS5"	"lowest"
"TBL1X"	"lowest"
"AKAP9"	"lowest"
"FOXN3"	"lowest"
"UBR5"	"lowest"
"MAGED2"	"lowest"
"TOB1"	"lowest"
"DICER1"	"lowest"
"SORT1"	"lowest"
"NR1D1"	"lowest"
"FEZ2"	"lowest"
"MBOAT1"	"lowest"
"CALM3"	"lowest"
"CDKN2C"	"lowest"
"TRAPPC10"	"lowest"
"NCOA2"	"lowest"
"PIK3CD"	"moderate"
"FBXO21"	"lowest"
"ADRB2"	"lowest"
"RBMS1"	"lowest"
"ETS2"	"lowest"
"LDLR"	"lowest"
"LRRFIP1"	"lowest"
"YY1"	"lowest"
"GPC4"	"lowest"
"NEK9"	"lowest"
"FBXL4"	"lowest"
"USP13"	"lowest"
"LRP4"	"lowest"
"ZMIZ2"	"lowest"
"CERT1"	"lowest"
"ADD3"	"lowest"
"MGST1"	"lowest"
"GNA13"	"lowest"
"MAP4"	"lowest"
"CACNG1"	"lowest"
"ARHGEF5"	"lowest"
"TNRC6A"	"lowest"
"ZEB2"	"lowest"
"HNRNPD"	"low"
"CRY2"	"lowest"
"NDEL1"	"lowest"
"RARA"	"lowest"
"TMEM123"	"lowest"
"VWF"	"lowest"
"MTUS1"	"lowest"
"ZBTB18"	"lowest"
"RYK"	"lowest"
"NFYB"	"lowest"
"KIF1B"	"lowest"
"PENK"	"lowest"
"NDST1"	"lowest"
"ZFTRAF1"	"lowest"
"CTNNBIP1"	"lowest"
"DLG1"	"lowest"
"CRTC3"	"lowest"
"SEMA3B"	"lowest"
"TSC22D3"	"lowest"
"USP46"	"lowest"
"PFKFB1"	"lowest"
"SDHB"	"lowest"
"NME2"	"lowest"
"GRAMD2B"	"lowest"
"RSL1D1"	"lowest"
"OCRL"	"lowest"
"PTGES2"	"lowest"
"OSBPL3"	"lowest"
"CTNNA1"	"lowest"
"AIDA"	"lowest"
"GLE1"	"lowest"
"CTH"	"lowest"
"AHCYL2"	"lowest"
"IDH1"	"lowest"
"CRYAB"	"lowest"
"CAST"	"lowest"
"RPS21"	"lowest"
"FGFR3"	"lowest"
"ERGIC3"	"lowest"
"ARMCX3"	"lowest"
"TMEM9"	"lowest"
"LYVE1"	"lowest"
"SH3KBP1"	"lowest"
"GLUD1"	"lowest"
"NOS1"	"lowest"
"SDC4"	"lowest"
"MAFF"	"lowest"
"MCL1"	"lowest"
"FGF2"	"lowest"
"CD163"	"lowest"
"ABR"	"lowest"
"FAM107A"	"lowest"
"SLC25A12"	"lowest"
"TNNT1"	"lowest"
"ADH1A"	"lowest"
"TBC1D1"	"lowest"
"ATP2A2"	"lowest"
"ITM2A"	"lowest"
"TPM3"	"lowest"
"MBNL2"	"lowest"
"ZFP36"	"lowest"
"IP6K3"	"lowest"
"DDX3X"	"lowest"
"KLF13"	"lowest"
"RPL3"	"lowest"
"NR4A3"	"lowest"
"GADD45G"	"lowest"
"CIRBP"	"lowest"
"TMPO"	"lowest"
"ARL2BP"	"lowest"
"NMB"	"lowest"
"RASGRP2"	"lowest"
"SLC25A28"	"lowest"
"TSPYL2"	"lowest"
"SIAH1"	"lowest"
"ECI2"	"lowest"
"CXCL14"	"lowest"
"KLF6"	"lowest"
"DNTTIP2"	"lowest"
"SFPQ"	"lowest"
"TFDP2"	"lowest"
"EWSR1"	"lowest"
"FANCL"	"lowest"
"SLC25A27"	"lowest"
"CLASRP"	"lowest"
"MADD"	"lowest"
"SOX13"	"lowest"
"RPL22"	"lowest"
"NPC1"	"lowest"
"SGK1"	"lowest"
"HSD11B1"	"lowest"
"DHX9"	"lowest"
"SCAPER"	"lowest"
"GGT7"	"lowest"
"CLIC4"	"lowest"
"CDYL"	"lowest"
"ASL"	"lowest"
"ELAVL1"	"lowest"
"CAV1"	"high"
"G3BP2"	"lowest"
"ADK"	"lowest"
"AZIN1"	"lowest"
"TRIO"	"lowest"
"PLCE1"	"lowest"
"THY1"	"lowest"
"PDK1"	"lowest"
"SLC43A2"	"lowest"
"FN1"	"lowest"
"ARPP21"	"lowest"
"PREPL"	"lowest"
"CDC16"	"lowest"
"CBX4"	"lowest"
"NUDT4"	"lowest"
"PRNP"	"lowest"
"S100A8"	"lowest"
"PGPEP1"	"lowest"
"EFS"	"lowest"
"PAQR9"	"lowest"
"VGLL4"	"lowest"
"RALGAPA1"	"lowest"
"WDR6"	"lowest"
"CHAD"	"lowest"
"GNB5"	"lowest"
"BEND3"	"lowest"
"PRKAR1A"	"lowest"
"RBL2"	"lowest"
"ZMAT3"	"lowest"
"CKMT2"	"lowest"
"ST6GAL1"	"lowest"
"UBE2H"	"lowest"
"LDLRAP1"	"lowest"
"MSN"	"lowest"
"RASA4"	"lowest"
"CDC42EP3"	"lowest"
"CXCL12"	"lowest"
"ACTG1"	"lowest"
"PDE4A"	"lowest"
"AFG1L"	"lowest"
"STOM"	"lowest"
"S100A9"	"lowest"
"PODXL"	"lowest"
"RTN4IP1"	"lowest"
"FADS1"	"low"
"APOB"	"lowest"
"STARD13"	"lowest"
"GNG11"	"lowest"
"PSMD5"	"lowest"
"MPC1"	"lowest"
"MAN1C1"	"lowest"
"ECM2"	"lowest"
"PDHA1"	"lowest"
"SYNGR1"	"lowest"
"C4B"	"lowest"
"VEGFC"	"lowest"
"SERPINF1"	"lowest"
"AMOTL2"	"lowest"
"ECHDC1"	"lowest"
"RPS6KA3"	"lowest"
"ATOX1"	"lowest"
"BACE2"	"lowest"
"LY6G5C"	"lowest"
"ACOT13"	"lowest"
"MGST2"	"lowest"
"UBL3"	"lowest"
"DAAM1"	"lowest"
"EBF1"	"lowest"
"HTRA1"	"lowest"
"SLC44A2"	"lowest"
"CHCHD4"	"lowest"
"COX7C"	"lowest"
"DAAM2"	"lowest"
"ANXA1"	"lowest"
"LSS"	"lowest"
"MPZL2"	"lowest"
"GRHPR"	"lowest"
"RAD50"	"low"
"MRPL30"	"lowest"
"NUDT12"	"lowest"
"ICAM2"	"lowest"
