"hgnc"	"model_organism"	"sex"	"line"	"effect_on_lifespan"	"control_cohort_size"	"experiment_cohort_size"	"quantity_of_animals_in_cage_or_container"	"containment_t_celsius_from"	"containment_t_celsius_to"	"diet"	"target_gene_expression_change"	"control_lifespan_min"	"control_lifespan_mean"	"control_lifespan_median"	"control_lifespan_max"	"experiment_lifespan_min"	"experiment_lifespan_mean"	"experiment_lifespan_median"	"experiment_lifespan_max"	"lifespan_time_unit"	"lifespan_%_change_min"	"significance_min"	"lifespan_%_change_mean"	"significance_mean"	"lifespan_%_change_median"	"significance_median"	"lifespan_%_change_max"	"significance_max"	"intervention_deteriorates"	"intervention_improves"	"main_effect_on_lifespan"	"intervention_way"	"intervention_method"	"genotype"	"tissue"	"promoter_or_driver"	"induction_by_drug_withdrawal"	"drug"	"treatment_start"	"treatment_end"	"doi"	"pmid"
"GHR"	"mouse"	"male"	"C57BL/6J"	"increases lifespan"	"22"	"14"	"2"	"22"	""	"standard chow"	"n/a"	"175"	"756"	"866"	"955"	"686"	"951"	"941"	"1095"	"days"	"292"	"n/a"	"26"	"true"	"9"	"n/a"	"14.7"	"n/a"	"n/a"	"insulin sensitivity,glucose metabolism,INS/IGFR pathway"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1210/en.2003-0374"	"n/a"
"GHR"	"mouse"	"female"	"C57BL/6"	"increases lifespan"	"35"	"35"	"n/a"	"22"	""	"standard chow"	"n/a"	"98.6"	"122"	"125.5"	"137.8"	"94"	"128"	"124"	"163.6"	"weeks"	"-4.7"	"n/a"	"5"	"false"	"-1.1"	"false"	"18.7"	"true"	"glucose metabolism,body composition"	"insulin sensitivity"	"loss of function"	"combined (inducible mutation)"	"gene knockout"	"-/-"	""	"n/a"	"false"	"tamoxifen"	"6weeks"	"6.7weeks"	"10.1210/en.2016-1649"	"n/a"
"GHR"	"mouse"	"male"	"Ola-BALB/cJ"	"increases lifespan"	"15"	"11"	"2"	"22"	""	"standard chow"	"n/a"	"128"	"656"	"698"	"885"	"648"	"917"	"888"	"1165"	"days"	"406.2"	"n/a"	"40"	"true"	"27"	"n/a"	"31.6"	"n/a"	"n/a"	"insulin sensitivity,glucose metabolism,INS/IGFR pathway"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1210/en.2003-0374"	"n/a"
"GHR"	"mouse"	"female"	"Ola-BALB/cJ"	"increases lifespan"	"24"	"30"	"2"	"22"	""	"standard chow"	"n/a"	"516"	"759"	"765"	"1004"	"525"	"921"	"981"	"1163"	"days"	"1.7"	"n/a"	"21"	"true"	"28"	"n/a"	"15.8"	"n/a"	"n/a"	"insulin sensitivity,glucose metabolism,INS/IGFR pathway"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"0days"	"n/a"	"10.1210/en.2003-0374"	"n/a"
"GHR"	"mouse"	"female"	"129/OlaHsd x BALB/c"	"increases lifespan"	"13"	"11"	"4"	"n/a"	""	"standard chow"	"n/a"	"n/a"	"749"	"n/a"	"n/a"	"n/a"	"1031"	"n/a"	"n/a"	"days"	"n/a"	"n/a"	"38"	"true"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"INS/IGFR pathway"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1210/endo.141.7.7586"	"n/a"
"GHR"	"mouse"	"female"	"C57BL/6J"	"increases lifespan"	"17"	"19"	"2"	"23"	""	"standard chow"	"n/a"	"563"	"821"	"850"	"1060"	"578"	"956"	"1023"	"1185"	"days"	"2.7"	"n/a"	"16"	"false"	"20"	"n/a"	"11.8"	"n/a"	"n/a"	"insulin sensitivity,glucose metabolism,INS/IGFR pathway"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1210/en.2003-0374"	"n/a"
"GHR"	"mouse"	"male"	"129/OlaHsd x BALB/c"	"increases lifespan"	"7"	"7"	"n/a"	"n/a"	""	"n/a"	"n/a"	"n/a"	"629"	"n/a"	"n/a"	"n/a"	"975"	"n/a"	"n/a"	"days"	"n/a"	"n/a"	"55"	"true"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"INS/IGFR pathway"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1210/endo.141.7.7586"	"n/a"
"GHR"	"mouse"	"male"	"C57BL/6"	"no change"	"35"	"35"	"n/a"	"n/a"	""	"standard chow"	"n/a"	"83.4"	"120"	"123"	"139.5"	"98"	"119"	"119"	"138.6"	"weeks"	"17.5"	"n/a"	"-0.8"	"false"	"-3.3"	"false"	"-0.6"	"n/a"	"glucose metabolism"	"insulin sensitivity"	"loss of function"	"combined (inducible mutation)"	"gene knockout"	"-/-"	""	"n/a"	"true"	"tamoxifen"	"6weeks"	"6.7weeks"	"10.1210/en.2016-1649"	"n/a"
"GHR"	"mouse"	"female"	"n/a"	"increases lifespan"	"23"	"35"	"n/a"	"24"	"–24"	"Rodent Laboratory Chow 5001: 23.4% protein, 4.5% fat, 5.8% crude fiber; LabDiet PMI Feeds, St Louis, MO, ad libitum"	"n/a"	"400"	"700.7"	"713"	"900"	"581"	"1179"	"1120"	"1223"	"days"	"45.25"	"n/a"	"68.2"	"true"	"57.1"	"true"	"35.8"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glw193"	"n/a"
"GHR"	"mouse"	"male"	"C57BL/6J x C57BL/6N"	"increases lifespan"	"45"	"30"	"4"	"22"	""	"14% fat, 60% carbohydrates, and 26% protein, 5P00 ProLab RMH 3000; LabDiet, St. Louis, MO, USA, ad libitum"	"-93"	"679"	"n/a"	"922"	"1089"	"684"	"n/a"	"1004"	"1156"	"days"	"0.7"	"n/a"	"n/a"	"n/a"	"9"	"true"	"6"	"true"	"n/a"	"glucose metabolism,INS/IGFR pathway,body composition"	"loss of function"	"germline-modified animals"	"gene knockout"	"GHR fl/fl; Cre"	"muscle"	"aP2 promoter, muscle creatine kinase promoter"	"false"	"n/a"	"n/a"	"n/a"	"10.18632/aging.100766"	"n/a"
"GHR"	"mouse"	"female"	"C57BL/6J x C57BL/6N"	"increases lifespan"	"48"	"32"	"4"	"22"	""	"14% fat, 60% carbohydrates, and 26% protein, 5P00 ProLab RMH 3000; LabDiet, St. Louis, MO, USA, ad libitum"	"-93"	"582"	"n/a"	"870"	"1062"	"632"	"n/a"	"898"	"1090"	"days"	"8.6"	"n/a"	"n/a"	"n/a"	"3.2"	"false"	"2.6"	"n/a"	"lipid metabolism,body composition"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"GHR fl/fl; Cre"	"muscle"	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.18632/aging.100766"	"n/a"
"GHR"	"mouse"	"male"	"n/a"	"increases lifespan"	"38"	"43"	"n/a"	"24"	"–24"	"Rodent Laboratory Chow 5001: 23.4% protein, 4.5% fat, 5.8% crude fiber; LabDiet PMI Feeds, St Louis, MO, ad libitum"	"n/a"	"426"	"726.2"	"760"	"1007"	"592"	"975.1"	"903"	"1220"	"days"	"39"	"n/a"	"34.3"	"true"	"18.8"	"true"	"21.2"	"n/a"	"n/a"	"insulin sensitivity,glucose metabolism"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glw193"	"n/a"
"GHRH"	"mouse"	"all"	"C57BL/6 x 129/Sv"	"increases lifespan"	"108"	"97"	"n/a"	"23"	"–23"	"Purina  Lab  Diet  5001, ad libitum"	"n/a"	"256"	"n/a"	"636"	"888"	"581"	"n/a"	"931"	"1163"	"days"	"127"	"n/a"	"n/a"	"n/a"	"46"	"true"	"31"	"n/a"	"n/a"	"glucose metabolism,stress response,INS/IGFR pathway,insulin sensitivity"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.7554/eLife.01098"	"n/a"
"GHRH"	"mouse"	"female"	"C57BL/6 x 129/Sv"	"increases lifespan"	"52"	"58"	"n/a"	"23"	"–23"	"Purina  Lab  Diet  5001, ad libitum"	"n/a"	"375"	"n/a"	"666"	"895"	"566"	"n/a"	"956"	"1198"	"days"	"51"	"n/a"	"n/a"	"n/a"	"43"	"true"	"33"	"true"	"n/a"	"glucose metabolism,stress response,INS/IGFR pathway,insulin sensitivity"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.7554/eLife.01098"	"n/a"
"GHRH"	"mouse"	"male"	"C57BL/6 x 129/Sv"	"increases lifespan"	"56"	"39"	"n/a"	"23"	"–23"	"Purina  Lab  Diet  5001, ad libitum"	"n/a"	"250"	"n/a"	"614"	"875"	"599"	"n/a"	"928"	"1092"	"days"	"140"	"n/a"	"n/a"	"n/a"	"51"	"true"	"18"	"true"	"n/a"	"glucose metabolism,stress response,INS/IGFR pathway,insulin sensitivity"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.7554/eLife.01098"	"n/a"
"GHRH"	"mouse"	"all"	"C57BL/6 x 129/Sv"	"increases lifespan"	"105"	"102"	"n/a"	"23"	"–23"	"Purina Lab Diet 5001, from birth to 12 weeks ad. lib., then 40% from ad. lib."	"n/a"	"360"	"n/a"	"770"	"1060"	"728"	"n/a"	"1054"	"1344"	"days"	"102"	"n/a"	"n/a"	"n/a"	"36.9"	"n/a"	"26.8"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.7554/eLife.01098"	"n/a"
"GHRH"	"mouse"	"female"	"C57BL/6 x 129/Sv"	"increases lifespan"	"52"	"60"	"n/a"	"23"	"–23"	"Purina Lab Diet 5001, from birth to 12 weeks ad. lib., then 40% from ad. lib."	"n/a"	"305"	"n/a"	"764"	"1147"	"721"	"n/a"	"1139"	"1402"	"days"	"136.4"	"n/a"	"n/a"	"n/a"	"49.1"	"n/a"	"22.2"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.7554/eLife.01098"	"n/a"
"GHRH"	"mouse"	"male"	"C57BL/6 x 129/Sv"	"increases lifespan"	"53"	"42"	"n/a"	"23"	"–23"	"Purina Lab Diet 5001, from birth to 12 weeks ad. lib., then 40% from ad. lib."	"n/a"	"466"	"n/a"	"782"	"1021"	"708"	"n/a"	"930"	"1172"	"days"	"51.9"	"n/a"	"n/a"	"n/a"	"18.9"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.7554/eLife.01098"	"n/a"
"SHC1"	"mouse"	"male"	"C57BL/6J"	"decreases lifespan"	"28"	"28"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"627"	"n/a"	"875"	"1021"	"686"	"n/a"	"843"	"982"	"days"	"9.4"	"n/a"	"n/a"	"n/a"	"-3.6"	"false"	"-3.8"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"mouse"	"male"	"129/Sv"	"decreases lifespan"	"35"	"47"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"730"	"n/a"	"907"	"1017"	"613"	"n/a"	"790"	"950"	"days"	"-16"	"n/a"	"n/a"	"n/a"	"-12.9"	"true"	"-6.6"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"mouse"	"female"	"129/Sv"	"decreases lifespan"	"47"	"38"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"513"	"n/a"	"730"	"910"	"513"	"n/a"	"697"	"910"	"days"	"0"	"false"	"n/a"	"n/a"	"-4.5"	"false"	"0"	"false"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"mouse"	"male"	"C57BL/6J × 129/Sv"	"decreases lifespan"	"14"	"16"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"884"	"n/a"	"950"	"1200"	"720"	"n/a"	"905"	"1200"	"days"	"-18.5"	"n/a"	"n/a"	"n/a"	"-5"	"false"	"0"	"false"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"mouse"	"female"	"C57BL/6J × 129/Sv"	"increases lifespan"	"18"	"17"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"568"	"n/a"	"900"	"1000"	"650"	"n/a"	"935"	"1150"	"days"	"14.4"	"n/a"	"n/a"	"n/a"	"3.9"	"false"	"15"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"mouse"	"female"	"C57BL/6J × 129/Sv"	"increases lifespan"	"18"	"16"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"568"	"n/a"	"900"	"1000"	"640"	"n/a"	"1000"	"1084"	"days"	"12.7"	"n/a"	"n/a"	"n/a"	"11"	"true"	"8.4"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"n/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"roundworm Caenorhabditis elegans"	"hermaphrodites"	"N2"	"decreases lifespan"	"204"	"152"	"n/a"	"23"	""	"E. coli OP50, NGM"	"n/a"	"n/a"	"14.4"	"n/a"	"n/a"	"n/a"	"8.9"	"n/a"	"n/a"	"days"	"n/a"	"n/a"	"-38"	"true"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"ok198"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1101/gad.478408"	"n/a"
"SHC1"	"mouse"	"female"	"C57BL/6J"	"increases lifespan"	"39"	"36"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"511"	"n/a"	"800"	"1036"	"661"	"n/a"	"814"	"1035"	"days"	"29"	"n/a"	"n/a"	"n/a"	"1.75"	"false"	"-0.1"	"false"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"SHC1"	"mouse"	"male"	"C57BL/6J × 129/Sv"	"no change"	"14"	"18"	"n/a"	"24"	"–24"	"Teklad 2018S Diet, ad libitum"	"n/a"	"884"	"n/a"	"950"	"1200"	"642"	"n/a"	"950"	"1081"	"days"	"-27.4"	"n/a"	"n/a"	"n/a"	"0"	"false"	"-9.9"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"n/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1093/gerona/glt198"	"n/a"
"POU1F1"	"mouse"	"all"	"C3H/HeJ × DW/J"	"increases lifespan"	"33"	"24"	"n/a"	"n/a"	""	"n/a"	"n/a"	"21.6"	"28.6"	"29.5"	"32.7"	"32.3"	"39.4"	"38"	"45.6"	"months"	"49.5"	"n/a"	"42"	"true"	"28.8"	"n/a"	"39.4"	"n/a"	"n/a"	"immune function,intercellular matrix"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"0days"	"n/a"	"10.1073/pnas.111158898"	"n/a"
"POU1F1"	"mouse"	"male"	"DWC3F1 Pit1+/?"	"increases lifespan"	"23"	"20"	"n/a"	"n/a"	""	"96W chow ad.lib."	"n/a"	"637"	"822"	"827"	"1026"	"834"	"1037"	"1068"	"1373"	"days"	"31"	"n/a"	"26"	"true"	"29"	"true"	"33.8"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"0days"	"n/a"	"10.1016/s0047-6374(01)00339-6"	"n/a"
"POU1F1"	"mouse"	"male"	"DW/J"	"decreases lifespan"	"17"	"12"	"n/a"	"n/a"	""	"96W chow ad.lib."	"n/a"	"117"	"613"	"671"	"817"	"310"	"618"	"634"	"1014"	"days"	"165"	"n/a"	"1"	"false"	"-6"	"false"	"24"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"0days"	"n/a"	"10.1016/s0047-6374(01)00339-6"	"n/a"
"POU1F1"	"mouse"	"female"	"DW/J"	"increases lifespan"	"16"	"18"	"n/a"	"n/a"	""	"96W chow ad.lib."	"n/a"	"281"	"571"	"579"	"776"	"500"	"844"	"872"	"1080"	"days"	"128"	"n/a"	"48"	"true"	"51"	"true"	"40"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"0days"	"n/a"	"10.1016/s0047-6374(01)00339-6"	"n/a"
"POU1F1"	"mouse"	"female"	"DWC3F1 Pit1+/?"	"increases lifespan"	"48"	"23"	"n/a"	"n/a"	""	"96W chow ad.lib."	"n/a"	"613"	"811"	"814"	"1061"	"842"	"1148"	"1231"	"1313"	"days"	"37"	"n/a"	"42"	"true"	"51"	"true"	"24"	"n/a"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene knockout"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1016/s0047-6374(01)00339-6"	"n/a"
"PROP1"	"mouse"	"female"	"n/a"	"increases lifespan"	"n/a"	"n/a"	"n/a"	"n/a"	""	"n/a"	"n/a"	"536"	"718"	"654"	"928"	"987"	"1206"	"1252"	"1337"	"days"	"84"	"true"	"68"	"true"	"91"	"true"	"44"	"true"	"n/a"	"n/a"	"loss of function"	"germline-modified animals"	"gene mutation"	"-/-"	""	"n/a"	"false"	"n/a"	"n/a"	"n/a"	"10.1038/384033a0"	"n/a"
